1--B1C1A9F8363CC2BBE050A8C009E12F17	WH2010002563	WHPALepaEAAARAA-669
2--B1C1A9F83611C2BBE050A8C009E12F17	WH2010002564	WHPALepaEAABRAA-670
3--B1C1A9F835E7C2BBE050A8C009E12F17	WH2010002565	WHPALepaEAACRAA-671
4--B1C1A9F835BCC2BBE050A8C009E12F17	WH2010002566	WHPALepaEAADRAA-673
5--B1C1A9F83051C2BBE050A8C009E12F17	WH2010002567	WHPALepaEAAERAA-674
6--B1C1A9F83027C2BBE050A8C009E12F17	WH2010002568	WHPALepaEAAFRAA-675
7--B1C1A9F82FA7C2BBE050A8C009E12F17	WH2010002572	WHPALepaEAAGRAA-676
8--B1C1A9F82F7CC2BBE050A8C009E12F17	WH2010002573	WHPALepaEAAHRAA-677
9--B1C1A9F82F51C2BBE050A8C009E12F17	WH2010002574	WHPALepaEAAIRAA-678
10--B1C1A9F82F26C2BBE050A8C009E12F17	WH2010002575	WHPALepaEAAJRAA-679
11--B1C1A9F82EFBC2BBE050A8C009E12F17	WH2010002576	WHPALepaEAAKRAA-680
12--B1C1A9F82ED0C2BBE050A8C009E12F17	WH2010002577	WHPALepaEAALRAA-681
13--B1C1A9F83692C2BBE050A8C009E12F17	WH2010002578	WHPALepaEAAMRAA-682
14--B1C1A9F82EA4C2BBE050A8C009E12F17	WH2010002579	WHPALepaEAANRAA-683
15--B1C1A9F836E8C2BBE050A8C009E12F17	WH2010002580	WHPALepaEAAORAA-685
16--B23170947DDB03C3E050A8C009E103E5	WH2010006751	WHPALepaEAAPRAA-689
17--B23170947DB103C3E050A8C009E103E5	WH2010006752	WHPALepaEAAQRAA-690
18--B23170947E0503C3E050A8C009E103E5	WH2010006753	WHPALepaEAARRAA-692
19--B23170947D8603C3E050A8C009E103E5	WH2010006754	WHPALepaEAASRAA-694
20--4028605974bf2dea0174c9e93bf543ad	WHYR200915737_A	WHPALepaEAATRAA-695
21--4028605974bf2dea0174c9e939c343a7	WHYR200915739_A	WHPALepaEAAURAA-701
22--4028605974bf2dea0174c9e93db943b1	WHYR200915740_A	WHPALepaEAAVRAA-702
23--4028605974bf2dea0174c9e93fdb43b7	WHYR200915746_A	WHPALepaEAAWRAA-703
24--4028605974bf2dea0174c9e936b7439f	WHYR200915747_A	WHPALepaEAAXRAA-706
25--4028605974bf2dea0174c9e93531439b	WHYR200915753_A	WHPALepaEAAYRAA-708
26--4028605974bf2dea0174c9e932e04395	WHYR200915759_A	WHPALepaEAAZRAA-709
27--4028605974bf2dea0174c9e932444393	WHYR200915763_A	WHPALepaEABARAA-710
